region,country,year,population,land_area,forest,nat_for
North and Central America,ABW,1990,62148,180,4,
North and Central America,ABW,2000,90858,180,4,
North and Central America,ABW,2005,100031,180,4,
North and Central America,ABW,2010,101597,180,4,
North and Central America,ABW,2015,109294,180,4,
Asia,AFG,1990,11731193,652230,13500,13500
Asia,AFG,2000,20595360,652230,13500,13500
Asia,AFG,2005,24860855,652230,13500,13500
Asia,AFG,2010,28397812,652230,13500,13500
Asia,AFG,2015,36722843,652230,13500,13500
Africa,AGO,1990,10333844,1246700,609760,608360
Africa,AGO,2000,13924930,1246700,597280,595940
Africa,AGO,2005,16544376,1246700,591040,589730
Africa,AGO,2010,19549124,1246700,584800,583520
Africa,AGO,2015,21842173,1246700,578560,577310
North and Central America,AIA,1990,8334,90,55,
North and Central America,AIA,2000,11071,90,55,
North and Central America,AIA,2005,12637,90,55,
North and Central America,AIA,2010,13768,90,55,
North and Central America,AIA,2015,13768,90,55,
Europe,ALB,1990,3446882,27398,7888,6855
Europe,ALB,2000,3304948,27403,7693,6728
Europe,ALB,2005,3196130,27404,7824,6842
Europe,ALB,2010,3150143,27400,7763,6823
Europe,ALB,2015,3260218,27400,7715,6815
Europe,AND,1990,54511,470,160,
Europe,AND,2000,65399,470,160,
Europe,AND,2005,81223,470,160,
Europe,AND,2010,77907,470,160,
Europe,AND,2015,78000,470,160,
North and Central America,ANT,1990,190539,800,12,
North and Central America,ANT,2000,179769,800,12,
North and Central America,ANT,2005,185967,800,12,
North and Central America,ANT,2010,200689,800,12,
North and Central America,ANT,2015,208069,800,12,
Asia,ARE,1990,1806498,83600,2450,
Asia,ARE,2000,3026352,83600,3100,
Asia,ARE,2005,4148883,83600,3120,
Asia,ARE,2010,8441537,83600,3173,
Asia,ARE,2015,8373320,83600,3226,
South America,ARG,1990,32624874,2736690,347930,340270
South America,ARG,2000,36903067,2736690,318600,307860
South America,ARG,2005,38647854,2736690,301860,290130
South America,ARG,2010,40374224,2736690,285960,274090
South America,ARG,2015,42160223,2736690,271120,259100
Asia,ARM,1990,3544695,28200,3350,3210
Asia,ARM,2000,3076098,28200,3330,3220
Asia,ARM,2005,3014917,28200,3320,3220
Asia,ARM,2010,2963496,28200,3310,3100
Asia,ARM,2015,3134224,28200,3320,3100
Oceania,ASM,1990,47044,200,184,
Oceania,ASM,2000,57522,200,181,
Oceania,ASM,2005,59117,200,179,
Oceania,ASM,2010,55636,200,177,
Oceania,ASM,2015,56000,200,175,
