region,year,land_area,forest,nat_for,change,nat_change
Africa,1990,29865448.0,7057402.0,6940121.0,NA,NA
Africa,2000,29865445.0,6703722.0,6575419.0,-0.5011475894387196,-0.5254980424692879
Africa,2005,29865445.0,6546790.0,6407277.0,-0.46819363929470725,-0.5114259638815422
Africa,2010,29865445.0,6382822.0,6229032.0,-0.5009111335478922,-0.556383000141869
Africa,2015,29865444.0,6241026.0,6073390.0,-0.4443050425031436,-0.4997309373270187
Asia,1990,29089673.0,4418710.0,3718684.0,NA,NA
Asia,2000,29077279.0,4587940.0,3725038.0,0.3829850793557399,0.017086689807470634
Asia,2005,29076111.0,4753219.0,3725201.0,0.7204932932863128,8.751588574407165e-4
Asia,2010,29073134.0,4871808.0,3744118.0,0.498983951717773,0.10156230496018992
Asia,2015,29088392.0,4944601.0,3728135.0,0.2988336157746785,-0.08537658268249038
Europe,1990,21899693.0,9856154.0,9235336.0,NA,NA
Europe,2000,21899518.0,9936561.0,9243941.0,0.08158050290204555,0.009317473668526421
Europe,2005,21899549.0,9954375.0,9214429.0,0.03585546347473656,-0.06385155422346411
Europe,2010,21899349.0,10046595.0,9249210.0,0.1852853644754182,0.07549246947369248
Europe,2015,21894819.0,10066070.0,9251065.0,0.0387693541941303,0.004011153384992916
North and Central America,1990,21040439.0,7397476.0,7164356.0,NA,NA
North and Central America,2000,21109190.0,7382515.0,7055272.0,-0.02022446575021042,-0.1522593237968628
North and Central America,2005,21108230.0,7385954.0,7015328.0,0.00931660822903968,-0.11323163727776864
North and Central America,2010,21108230.0,7418707.0,7011751.0,0.08868996476284696,-0.010197670016285354
North and Central America,2015,21108230.0,7428448.0,6995616.0,0.02626064083673718,-0.04602274096727088
Oceania,1990,532909.0,383376.0,376982.0,NA,NA
Oceania,2000,532911.0,382815.0,376235.0,-0.0146331538750466,-0.019815269694574145
Oceania,2005,532912.0,382566.0,375782.0,-0.013008894635790913,-0.024080694246946255
Oceania,2010,543172.0,382105.0,375467.0,-0.024100416660131074,-0.016765039304702523
Oceania,2015,543172.0,381922.0,375150.0,-0.009578518993469398,-0.01688563841828916
South America,1990,16612702.0,8787876.0,8707554.0,NA,NA
South America,2000,16583942.0,8416660.0,8319723.0,-0.42241834090512853,-0.44539603199704514
South America,2005,16583942.0,8208984.0,8102951.0,-0.4934879156339922,-0.5211038877135699
South America,2010,16583942.0,8046282.0,7919153.0,-0.39639984680199136,-0.45365694547579105
South America,2015,16583942.0,7953276.0,7808627.0,-0.2311775799058502,-0.2791359126411619
